Question category,Question as answered by guardian,Answer scale,"Reference, comments (in red) and possible conditions (in blue) in the question",,,,,,,
,,,,,,,,,,
,Which relationship do you have to the child participating in the Fin-HIT-study?,,Question implemented in January 2013. ,,,,,,,
,,mother,,,,,,,,
,,father,,,,,,,,
,"Other, who  (open text) ",,,,,,,,,
,,,,,,,,,,
Family structure,"Who are the adults living with your child? If your child has two homes, think about the home where your child lives most of the time. ",,"Our own question, adapted to the parent questionnaire. Ideas from e.g. Y-HUNT 3 (Young Health Study in Nord-Trøndelag), Norway, THL “Kouluterveyskysely”, a Finnish school study, “Ung i Jakobstadsnejden 1”, a Finnish study, and WHO HBSC (Health Behaviour in School-aged Children)",,,,,,,
,,Both mother and father,,,,,,,,
,,Only mother,,,,,,,,
,,Only father,,,,,,,,
,,Mother and her partner,,,,,,,,
,,Father and his partner,,,,,,,,
,"Some other adult, who  (open text)",,,,,,,,,
,,,,,,,,,,
,How many siblings live in your child’s home? Think about the home where your child lives most of the time.,,Our own question. Ideas from WHO HBSC (Health Behaviour in School-aged Children,,,,,,,
,1 How many younger sisters / brothers,open text,,,,,,,,
,2 How many older sisters / brothers,open text,,,,,,,,
,3 How many twin sisters / brothers or triplet sisters / brothers,open text,,,,,,,,
,,,,,,,,,,
,Does your child have two homes or two families?,,WHO HBSC (Health Behaviour in School-aged Children); adapted to the parent questionnaire.,,,,,,,
,,No,"CONDITION in f3: If answered yes (2), then question f4.",,,,,,,
,,Yes,,,,,,,,
,,,,,,,,,,
,How much time does your child spend in the other home or with his/her other family? ,,WHO HBSC (Health Behaviour in School-aged Children); adapted to the parent questionnaire.,,,,,,,
,,Half of the time,,,,,,,,
,,"Regularly, but less than half of the time",,,,,,,,
,,Sometimes,,,,,,,,
,,Very rarely,,,,,,,,
,,,,,,,,,,
Child daycare,At what age did your child first enter day care outside the home?,,"GUTS Growing Up Today Study, Harvard School of Public Health, US; mother’s questionnaire; one more answer alternative added",,,,,,,
,,He/she has not been in day care outside the home,,,,,,,,
,,< 6 months,,,,,,,,
,,6-11 months,,,,,,,,
,,12-23 months,,,,,,,,
,,2-3  years,,,,,,,,
,,> 3 years,,,,,,,,
,,,,,,,,,,
Child breastfeeding,Did your child get breastmilk or infant formula during the first 6 months of his/her life? Infant formula also covers special infant formula.        ,,"GUTS Growing Up Today Study, Harvard School of Public Health, US; mother’s questionnaire; answer alternative “I do not know or remember” added. ",,,,,,,
,,Breastmilk only,All questions about breastfeeding have been adapted so that both the mother and father are able to answer them.,,,,,,,
,,More breastmilk than infant formula,,,,,,,,
,,Both equally,,,,,,,,
,,More infant formula than breastmilk,,,,,,,,
,,Infant formula only,"CONDITION in f6: If answered infant formula only  (5), then question f8.",,,,,,,
,,I do not know or remember,"CONDITION in f6: If answered I don't know or remember  (6), then question f10.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How old was your child when breastfeeding was stopped?,,"GUTS Growing Up Today Study, Harvard School of Public Health, US; mother’s questionnaire; answer alternative “I do not know or remember” added. ",,,,,,,
,,Less than 1 month,All questions about breastfeeding have been adapted so that both the mother and father are able to answer them.,,,,,,,
,,1-3 months,,,,,,,,
,,4-5 months,,,,,,,,
,,6-7 months,,,,,,,,
,,8-9 months,,,,,,,,
,,10-11 months,,,,,,,,
,,12 months or more,,,,,,,,
,,I do not know or remember,,,,,,,,
,,,,,,,,,,
,How old was your child when he/she started getting infant formula regularly?,,"GUTS Growing Up Today Study, Harvard School of Public Health, US; mother’s questionnaire; answer alternative “I do not know or remember” added. ",,,,,,,
,,The child did not get infant formula regularly,All questions about breastfeeding have been adapted so that both the mother and father are able to answer them.,,,,,,,
,,Less than 1 month,,,,,,,,
,,1-3 months,,,,,,,,
,,4-5 months,,,,,,,,
,,6-7 months,,,,,,,,
,,8-9 months,,,,,,,,
,,10-11 months,,,,,,,,
,,12 months or more,,,,,,,,
,,I do not know or remember,,,,,,,,
,,,,,,,,,,
,Was it difficult to breastfeed or bottle feed your child during the first 6 months of his/her life?,,"ALSPAC Study (Avon Longitudinal Study of Parents and Children), Bristol University, UK Child based questionnaire; My infant daughter/son 15 months; ",,,,,,,
,,"Yes, very difficult",Small modifications: time period is changed,,,,,,,
,,"Yes, quite difficult",,,,,,,,
,,"No, not very difficult",,,,,,,,
,,"No, not difficult at all",,,,,,,,
,,I do not know or remember,,,,,,,,
,,,,,,,,,,
Child early eating behavior ,"In early childhood, i.e. before school age, has your child at any time…",,"ALSPAC Study (Avon Longitudinal Study of Parents and Children), Bristol University, UK Child based questionnaire: My infant daughter/son 15 months;",,,,,,,
,1 not eaten sufficient amount of food,"Yes, worried me greatly","Small modifications: time period is changed, the answer alternative “I do not know or remember” is added, one statement is removed",,,,,,,
,2 refused to eat the right food,"Yes, worried me a bit",,,,,,,,
,3 over-eaten ,"Yes, but did not worry me",,,,,,,,
,4 been difficult to get into an eating routine,"No, did not happen",,,,,,,,
,,I do not know or remember,,,,,,,,
,,,,,,,,,,
,"How far do the following statements describe your child in the early childhood, i.e. before school age?",,"ALSPAC Study (Avon Longitudinal Study of Parents and Children), Bristol University, UK Child based questionnaire: My five year old son/daughter",,,,,,,
,1 He/she liked to try different foods,"Yes, most of the time","Small modifications: time period is changed, the answer alternative “I do not know or remember” is added",,,,,,,
,2 He/she seemed to enjoy eating,Yes sometimes,,,,,,,,
,3 He/she seemed to prefer sweet foods,Seldom or never,,,,,,,,
,4 He/she seemed to prefer savoury foods,I do not know or remember,,,,,,,,
,5 He/she played with her food rather than eating eagerly,,,,,,,,,
,6 He/she was very choosy about the food she ate,,,,,,,,,
,7 He/she finished all the food on the plate,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Child current eating behavior ,Do you agree or disagree with these statements: ,,"ALSPAC Study (Avon Longitudinal Study of Parents and Children), Bristol University, UK Child based questionnaire: My son’s/daughter’s health and happiness, 10.7 years",,,,,,,
,1 I have to be sure that he/she does not eat too many sweets,Agree,"Small modifications: the two last statements are added, they are the same as in question 10.",,,,,,,
,2 I have to be sure that he/she does not eat too many of her favourite foods,Slightly agree,,,,,,,,
,3 I deliberately keep some foods out of his/her reach,Neither agree nor disagree,,,,,,,,
,4 It’s OK to offer sweets as a reward for good behaviour,Slightly disagree,,,,,,,,
,5 If I did not guide or regulate his/her eating she would eat too much,Disagree,,,,,,,,
,6 He/she does not eat sufficient amount of food,,,,,,,,,
,7 He/she refuses to eat the right food,,,,,,,,,
,,,,,,,,,,
