Question category,Question,Values,"Comments (pop-up questions, open questions etc.)",Reference
"Background information, ",Sukupuoli,1 = Mies ; 2 = Nainen ; 3 =  Muu,Please note: The order is different than in our database regarding baseline and 1. follow-up,
"habitation, education, ",Kenen kanssa asut? (Valitse yksi tai useampi vastausvaihtoehto.),1 = Asun lapsuudenkodissani ; 2 = Asun yksin ; 3 =  Asun kämppäkaverin kanssa tai soluasunnossa ; 4 =  Asun puolisoni tai avopuolisoni kanssa ; 5 = Asun lapsen/lasten kanssa,"Answer alternative 5 and the text ""you can choose one or several options"" were added after the pilot. The extra text was deleted before batch 5 but the function of choosing several answer alternatives still remained. ","Own question. Ideas from Eero Kajantie's study. The question is similar to ""Korkeakouluopiskelijoiden terveys- ja hyvinvointitutkimus""/University Student Health and Wellbeing Survey"
illnesses,Mitä kouluja tai tutkintoja olet suorittanut? Valitse yksi tai useampi vaihtoehto.,1 = peruskoulu ; 2 = ammattikoulu tai vastaava ; 3 = opistotutkinto tai vastaava ; 4 = lukio ; 5 = ammattikorkeakoulu ; 6 = korkeakoulu tai yliopisto ; 7= en mitään näistä,,Education level is based on UNESCO ISCED coding. http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011-en.pdf 
,Mitä kouluja tai tutkintoja olet suorittamassa nykyisin? Valitse yksi tai useampi vaihtoehto.,1 = peruskoulu ; 2 = ammattikoulu tai vastaava ; 3 = opistotutkinto tai vastaava ; 4 = lukio ; 5 = ammattikorkeakoulu ; 6 = korkeakoulu tai yliopisto ; 7 = en mitään näistä,,Education level is based on UNESCO ISCED coding. http://uis.unesco.org/sites/default/files/documents/international-standard-classification-of-education-isced-2011-en.pdf 
,Mitä teet nykyisin?,"1 = Olen työelämässä ; 2 = Pidän välivuotta ; 3= Olen armeijassa tai siviilipalveluksessa ; 4 = Olen vanhempainvapaalla ; 5 = Olen työtön ; 6 = Jotain muuta;  0 = did not respond to this question: replied 1-6 on question ""Where are you currently studying? You can choose one or several options.""",Pop up question for those who answer 7 in previous question,
,Mitä muuta?,"text; 0 = did not respond to this question: replied 1-5 on question ""Where are you currently studying? You can choose one or several options."" or have a 0 on question""Where are you currently studying? You can choose one or several options.""",Pop up question (open question) for those who answer 6 in previous question. ,
,Suoritatko parhaillaan varusmiespalvelusta?,1=kyllä; 2=ei; -88 = filled in the questionnaire before 14.9.2021 when this question was not included ,,Own question
,Onko sinulla jokin pitkäaikaissairaus?,1=kyllä; 2=ei; -88 = filled in the questionnaire before 26.1.2021 when this question was not included ,,Own question
,Mikä sairaus?,"text; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = filled in the questionnaire after 26.1.2021 and replied 2 on question ""Do you have any long-term disease? """,Pop up question (open question) for those who answer 1 in previous question. ,
Body measures,"Kuinka pitkä olet? - Jos sinulla on jalassasi kengät tai päässäsi pipo, riisu ne pois. - Asetu seisomaan selkä suorana seinää vasten. - Pidä jalat yhdessä, paino molemmilla jaloilla ja kantapäät tiukasti seinää vasten. - Suuntaa katse suoraan eteenpäin. - Pyydä jotakuta toista mittaamaan pituutesi mittanauhalla lattiasta päälaelle. Ilmoita pituutesi kokonaisina senttimetreinä, ilman desimaaleja.",,"open text, cm, no decimals",
,"Mikä on vyötärönympärysmittasi? - Riisu vaatteitasi sen verran, että vatsa on paljas. Tarkista, etteivät vaatteet kiristä vatsan seutua. - Seiso tukevasti paino molemmilla jaloilla. - Älä vedä vatsaa sisään. - Pyydä nyt jotakuta toista mittaamaan vyötärönympäryksesi mittanauhalla seuraavalla tavalla: - Tunnustele molempia kylkiä ja lonkkaluun yläosaa. Sen yläpuolella on kapea pehmeä alue, josta ylöspäin alimmat kylkiluut tuntuvat kiinteämpinä. Mittaa lonkkaluun yläosan ja kylkiluiden alaosan puolivälistä. - Pidä mittanauha vaakasuorassa eli samalla korkeudella joka puolella vyötäröä. Mittanauha ei saa olla kireällä, mutta ei myöskään liian löysällä. - Hengitä rauhallisesti. Ota mitta uloshengityksen lopussa. Ilmoita vyötärönympärysmittasi kokonaisina senttimetreinä, ilman desimaaleja. ",,"open text, cm, no decimals. The instructions are the same as in previous Fin-HIT questionnaires, with small additions. The participant may ask someone to help with measuring. ","According to standard procedures, waist circumference is measured midway between the hip bones and the ribs. This is the case in most studies, e.g. the FinnTwin Study (contact person Eila Voipio). Our expert in the collaboration group, Prof. Johan Eriksson, also recommended this site of measurement.The instruction text is based on Duodecim/Terveyskirjasto (Finnish Health library) with small modifications: http://www.terveyskirjasto.fi/terveyskirjasto/tk.koti?p_artikkeli=dlk00890"
